West Humber-Clairville,1,0,0.009515734,0.000019888
Mount Olive-Silverstone-Jamestown,2,86,0.213815706,0.002061358
Thistletown-Beaumond Heights,3,156,0.197742647,-0.005907353
Rexdale-Kipling,4,43033,0.183333376,-0.000958624
Elms-Old Rexdale,5,2750,0.046804262,7.32279E-05
Kingsview Village-The Westway,6,6067,0.015294344,0.001702187
Willowridge-Martingrove-Richview,7,10190,0.043036193,0.003245283
Humber Heights-Westmount,8,188,0.040177446,-0.000461839
Edenbridge-Humber Valley,9,50349,0.085666938,-2.76073E-05
Princess-Rosethorn,10,10030,0.037318228,-0.008962541
Eringate-Centennial-West Deane,11,311,0.09660754,0.002516842
Markland Wood,12,73,0.037549646,0.004311714
Etobicoke West Mall,13,6461,0.106412425,0.000477131
Islington-City Centre West,14,56778,0.870210684,0.000800318
Kingsway South,15,248,0.018384787,0.000196326
Stonegate-Queensway,16,96336,0.030399177,0.002253607
Mimico,17,4502,0.009321698,0.00223764
New Toronto,18,0,0.125995907,0.023350193
Long Branch,19,156,0.017065022,0.000186761
Alderwood,20,16092,0.05001963,0.00011763
Humber Summit,21,2357,0.171393896,0.008635668
Humbermede,22,691,0.027303453,-0.001596547
Pelmo Park-Humberlea,23,371626,0.474668445,0.006192254
Black Creek,24,0,0.267896961,0.000926372
Glenfield-Jane Heights,25,0,0.076875747,0.009012286
Downsview-Roding-CFB,26,222837,0.034363886,0.000212879
York University Heights,27,0,0.140473409,0.000521894
Rustic,28,3692,0.046999364,7.07929E-05
Maple Leaf,29,1363,0.004981511,0.000333511
Brookhaven-Amesbury,30,850,0.004868267,-6.01886E-06
Yorkdale-Glen Park,31,496649,0.029486784,3.25471E-05
Englemount-Lawrence,32,282,0.221391874,0.019469652
Clanton Park,33,202,0.009663106,7.97726E-05
Bathurst Manor,34,653,0.115185623,-0.006543544
Westminster-Branson,35,1599,0.146304426,-0.001430709
Newtonbrook West,36,0,0.003151978,7.29681E-06
Willowdale West,37,508,0.020423844,-0.000303742
Lansing-Westgate,38,445019,0.077420138,0.003844212
Bedford Park-Nortown,39,4259,0.003006291,8.36727E-07
St.Andrew-Windfields,40,55313,0.134515726,-0.000840439
Bridle Path-Sunnybrook-York Mills,41,0,0.079209015,0.003714697
Banbury-Don Mills,42,416,0.025345683,-0.001894317
Victoria Village,43,0,0.168866118,0.000181011
Flemingdon Park,44,64042,0.116980878,5.28784E-05
Parkwoods-Donalda,45,92338,0.342295792,0.029639792
Pleasant View,46,1358,0.029014688,6.80213E-05
Don Valley Village,47,246384,0.094276948,0.000167192
Hillcrest Village,48,2611,0.014993228,8.37942E-05
Bayview Woods-Steeles,49,0,0.007261844,0.000091112
Newtonbrook East,50,123,0.008833975,0.000990073
Willowdale East,51,2405,0.064735377,0.000101377
Bayview Village,52,0,0.042954019,0.000290557
Henry Farm,53,4819,0.13912995,-0.003089281
O'Connor-Parkview,54,0,0.005042704,4.06633E-05
Thorncliffe Park,55,139415,0.192335527,0.003496818
Leaside-Bennington,56,1,0.040256374,0.00048554
Broadview North,57,7653,1.019306444,0.006000561
Old East York,58,0,0.055020095,9.83557E-05
Danforth-East York,59,0,0.093920677,0.000229768
Woodbine-Lumsden,60,0,0.199451917,0.001151917
Taylor-Massey,61,309,0.663717904,0.020545176
East End-Danforth,62,0,0.075941342,0.000102881
The Beaches,63,143,0.019527341,0.000713452
Woodbine Corridor,64,168,0.599138066,0.000925566
Greenwood-Coxwell,65,860,0.475313889,-2.72876E-05
Danforth,66,2735,0.578734258,0.02555244
Playter Estates-Danforth,67,6055,0.455585719,-0.002847614
North Riverdale,68,36229,0.710741194,0.008680083
Blake-Jones,69,521916,0.762524298,0.013335409
South Riverdale,70,0,0.064174506,0.003430756
Cabbagetown-South St.James Town,71,699603,0.65628074,0.016459311
Regent Park,72,35920,0.40110502,2.16867E-05
Moss Park,73,0,0.249063125,-0.001672589
North St.James Town,74,1585690,5.19708883,-0.04796117
Church-Yonge Corridor,75,0,0.670791398,0.000441398
Bay Street Corridor,76,0,0.302669051,-0.013219838
Waterfront Communities-The Island,77,0,0.01295049,4.65424E-05
Kensington-Chinatown,78,332,0.206791179,-0.004082155
University,79,22,0.141455646,0.004319932
Palmerston-Little Italy,80,895785,0.364464371,0.033364371
Trinity-Bellwoods,81,0,0.086838065,-0.012732523
Niagara,82,38841,0.220275912,0.004214621
Dufferin Grove,83,203624,0.63380982,0.112038391
Little Portugal,84,48397,2.409384599,0.074834599
South Parkdale,85,34919,0.258100066,0.005347892
Roncesvalles,86,441,0.149503562,0.000210229
High Park-Swansea,87,0,0.011110005,0.000264722
High Park North,88,72,0.227182135,-0.031949444
Runnymede-Bloor West Village,89,0,0.183475433,0.004644183
Junction Area,90,1,0.040172835,0.000311297
Weston-Pellam Park,91,1011,0.111888777,0.00542211
Corso Italia-Davenport,92,20,0.088152868,0.0003055
Dovercourt-Wallace Emerson-Juncti,93,96927,0.19375629,-0.004616683
Wychwood,94,256337,0.501221004,0.022726886
Annex,95,0,0.078855292,0.000251721
Casa Loma,96,0,0.066698115,0.003366536
Yonge-St.Clair,97,470,0.24629241,-0.032374257
Rosedale-Moore Park,98,1156,0.01438401,0.00013401
Mount Pleasant East,99,0,0.103924626,0.002208497
Yonge-Eglinton,100,0,0.477377436,0.021983686
Forest Hill South,101,0,0.015536568,0.000048568
Forest Hill North,102,82979,0.147880888,0.003318388
Lawrence Park South,103,1092,0.019225245,-0.00569663
Mount Pleasant West,104,31,0.80682312,0.007100043
Lawrence Park North,105,0,0.487507162,0.017481075
Humewood-Cedarvale,106,54508,0.690426343,0.007057922
Oakwood Village,107,17931,0.343303249,-0.043078569
Briar Hill-Belgravia,108,4409,0.225531644,0.001498311
Caledonia-Fairbank,109,1964,0.568556221,0.002949554
Keelesdale-Eglinton West,110,18416,0.630432601,0.003485542
Rockcliffe-Smythe,111,558,0.035174624,0.000147173
Beechborough-Greenbrook,112,0,0.07059708,3.59689E-05
Weston,113,314,0.035262844,0.00121669
Lambton Baby Point,114,135026,0.084891189,-0.00313234
Mount Dennis,115,931,0.10096031,0.000350786
Steeles,116,58703,0.133675902,0.000386771
L'Amoreaux,117,542,0.022315922,0.000893386
Tam O'Shanter-Sullivan,118,241,0.04477407,-9.68395E-05
Wexford/Maryvale,119,131557,0.140405194,0.005386567
Clairlea-Birchmount,120,0,0.006632001,-0.000246378
Oakridge,121,332,0.054268919,-0.000519969
Birchcliffe-Cliffside,122,446,0.014631675,0.000123341
Cliffcrest,123,66889,0.097295512,0.000449033
Kennedy Park,124,0,0.00716186,0.003720194
Ionview,125,0,0.07791446,0.00023446
Dorset Park,126,109791,0.015868003,-0.000103663
Bendale,127,575,0.023378571,-7.81861E-05
Agincourt South-Malvern West,128,251,0.075788809,0.000101467
Agincourt North,129,0,0.251007805,-0.035805894
Milliken,130,2596,0.047895651,0.000274374
Rouge,131,4410,0.006198103,7.44327E-05
Malvern,132,347833,0.311917882,0.017168444
Centennial Scarborough,133,236731,0.044398056,5.36111E-05
Highland Creek,134,0,0.025554904,0.000135296
Morningside,135,3911,0.037058418,-0.00122194
West Hill,136,0,0.03628674,9.65646E-06
Woburn,137,27906,0.000477863,4.09213E-06
Eglinton East,138,0,0.04557154,-0.00283471
Scarborough Village,139,0,0.00059262,8.74871E-06
Guildwood,140,36,0.031317702,0.000257176
